Use Custom Layer,Num Custom Layers,Num Filters,Regularization Factor,Epochs,Batch Size,Learning Rate,Accuracy,Loss,Training Time,Peak Memory Usage (MB),Model Complexity
False,1,64,0.001,20,64,0.001,0.9829999804496765,0.07858962565660477,122.3014771938324,8.953125,706698
True,1,64,0.001,20,64,0.01,0.9763000011444092,0.148650124669075,127.5312728881836,-218.078125,702538
False,1,64,0.001,20,64,0.01,0.9810000061988831,0.13907620310783386,120.64769506454468,330.671875,706698
True,1,64,0.001,20,128,0.001,0.9864000082015991,0.06541461497545242,109.20328187942505,-430.65625,702538
False,1,64,0.001,20,128,0.001,0.9897000193595886,0.04779352992773056,105.50389003753662,-60.078125,706698
True,1,64,0.001,20,128,0.01,0.9825999736785889,0.15652154386043549,108.82704496383667,-36.96875,702538
False,1,64,0.001,20,128,0.01,0.9789999723434448,0.12114515155553818,98.82423305511475,528.921875,706698
True,1,64,0.01,10,64,0.001,0.9871000051498413,0.05491882935166359,62.974246978759766,101.046875,702538
False,1,64,0.01,10,64,0.001,0.9865999817848206,0.058373089879751205,64.74660181999207,-714.609375,706698
True,1,64,0.01,10,64,0.01,0.9775999784469604,0.10232987999916077,66.12940692901611,-62.828125,702538
False,1,64,0.01,10,64,0.01,0.9825999736785889,0.1004786491394043,67.58576893806458,-36.9375,706698
True,1,64,0.01,10,128,0.001,0.98580002784729,0.051838770508766174,54.988720178604126,-75.609375,702538
False,1,64,0.01,10,128,0.001,0.9851999878883362,0.06496943533420563,47.5634400844574,476.140625,706698
True,1,64,0.01,10,128,0.01,0.9811999797821045,0.10775600373744965,49.43801689147949,230.828125,702538
False,1,64,0.01,10,128,0.01,0.979200005531311,0.11181028932332993,46.97853183746338,195.25,706698
True,1,64,0.01,20,64,0.001,0.9850000143051147,0.07941847294569016,125.37128186225891,189.59375,702538
False,1,64,0.01,20,64,0.001,0.9825999736785889,0.08733462542295456,120.48928570747375,224.828125,706698
True,1,64,0.01,20,64,0.01,0.9786999821662903,0.135607048869133,125.2816309928894,-1526.640625,702538
False,1,64,0.01,20,64,0.01,0.9753000140190125,0.17142213881015778,115.75424194335938,-28.671875,706698
True,1,64,0.01,20,128,0.001,0.9869999885559082,0.07155435532331467,106.31106305122375,-16.734375,702538
False,1,64,0.01,20,128,0.001,0.9836000204086304,0.07225780189037323,102.60311007499695,-128.234375,706698
True,1,64,0.01,20,128,0.01,0.9781000018119812,0.17269529402256012,105.52707982063293,-153.546875,702538
False,1,64,0.01,20,128,0.01,0.979200005531311,0.14166615903377533,99.23451399803162,-55.59375,706698
True,1,64,0.1,10,64,0.001,0.9847000241279602,0.07095696032047272,64.39748001098633,-67.625,702538
False,1,64,0.1,10,64,0.001,0.9858999848365784,0.0684659481048584,58.84604001045227,733.65625,706698
True,1,64,0.1,10,64,0.01,0.9781000018119812,0.14346975088119507,58.3293890953064,-925.609375,702538
False,1,64,0.1,10,64,0.01,0.9800999760627747,0.14455284178256989,57.027689933776855,-123.53125,706698
True,1,64,0.1,10,128,0.001,0.9824000000953674,0.06283193826675415,50.6873779296875,-25.453125,702538
False,1,64,0.1,10,128,0.001,0.9825000166893005,0.07126961648464203,48.37364602088928,271.609375,706698
True,1,64,0.1,10,128,0.01,0.9807000160217285,0.08612502366304398,50.39620089530945,-321.734375,702538
False,1,64,0.1,10,128,0.01,0.9775999784469604,0.12262190133333206,47.41049098968506,-54.84375,706698
True,1,64,0.1,20,64,0.001,0.9861999750137329,0.0701843649148941,119.46936202049255,-142.59375,702538
False,1,64,0.1,20,64,0.001,0.9854000210762024,0.08129739761352539,112.95701599121094,-142.671875,706698
True,1,64,0.1,20,64,0.01,0.9794999957084656,0.15144158899784088,117.18292713165283,-77.90625,702538
False,1,64,0.1,20,64,0.01,0.979200005531311,0.1301935762166977,110.84578824043274,-41.71875,706698
True,1,64,0.1,20,128,0.001,0.9872000217437744,0.062487732619047165,101.56272792816162,-37.9375,702538
False,1,64,0.1,20,128,0.001,0.9830999970436096,0.0774914026260376,105.42174172401428,-238.375,706698
True,1,64,0.1,20,128,0.01,0.9787999987602234,0.13643258810043335,110.6527669429779,-65.796875,702538
False,1,64,0.1,20,128,0.01,0.9736999869346619,0.1977967470884323,103.17518830299377,-65.265625,706698
True,5,32,0.001,10,64,0.001,0.9749000072479248,0.09629952907562256,46.80981111526489,-101.234375,178922
False,5,32,0.001,10,64,0.001,0.9789000153541565,0.10936375707387924,39.57453107833862,324.53125,184202
True,5,32,0.001,10,64,0.01,0.11349999904632568,2.3026204109191895,42.918792963027954,171.546875,178922
False,5,32,0.001,10,64,0.01,0.9824000000953674,0.11207639425992966,40.28540301322937,-661.828125,184202
True,5,32,0.001,10,128,0.001,0.9772999882698059,0.09055497497320175,33.94256591796875,-157.984375,178922
False,5,32,0.001,10,128,0.001,0.9812999963760376,0.11932174116373062,31.34394598007202,-114.578125,184202
True,5,32,0.001,10,128,0.01,0.11349999904632568,2.3019332885742188,35.616326093673706,-112.65625,178922
False,5,32,0.001,10,128,0.01,0.9763000011444092,0.1396707147359848,30.44894003868103,-113.453125,184202
True,5,32,0.001,20,64,0.001,0.9753000140190125,0.12774775922298431,92.03886914253235,-110.296875,178922
False,5,32,0.001,20,64,0.001,0.9828000068664551,0.09705367684364319,83.29475092887878,25.703125,184202
True,5,32,0.001,20,64,0.01,0.11349999904632568,2.301759958267212,91.55492782592773,-222.453125,178922
False,5,32,0.001,20,64,0.01,0.9776999950408936,0.15450817346572876,86.56726098060608,-79.109375,184202
True,5,32,0.001,20,128,0.001,0.97079998254776,0.14494194090366364,72.6323549747467,-122.625,178922
False,5,32,0.001,20,128,0.001,0.9843999743461609,0.08981199562549591,64.77531886100769,-10.75,184202
True,5,32,0.001,20,128,0.01,0.9150999784469604,0.2936747670173645,65.32892179489136,-208.0625,178922
False,5,32,0.001,20,128,0.01,0.9746000170707703,0.17502479255199432,59.93403196334839,-117.359375,184202
True,5,32,0.01,10,64,0.001,0.9775999784469604,0.10812254995107651,45.82237696647644,-118.109375,178922
False,5,32,0.01,10,64,0.001,0.9760000109672546,0.1572711020708084,41.10028386116028,-47.375,184202
True,5,32,0.01,10,64,0.01,0.9226999878883362,0.3033381402492523,44.72140431404114,-180.09375,178922
False,5,32,0.01,10,64,0.01,0.979200005531311,0.14239606261253357,40.686208724975586,-53.875,184202
True,5,32,0.01,10,128,0.001,0.9682999849319458,0.11287398636341095,34.01886487007141,-173.828125,178922
False,5,32,0.01,10,128,0.001,0.9746999740600586,0.19246920943260193,31.607455015182495,535.078125,184202
True,5,32,0.01,10,128,0.01,0.11349999904632568,2.301846981048584,32.843589782714844,121.65625,178922
False,5,32,0.01,10,128,0.01,0.9793999791145325,0.1301841139793396,31.072354793548584,-816.265625,184202
True,5,32,0.01,20,64,0.001,0.9805999994277954,0.11247781664133072,97.9246437549591,-105.484375,178922
False,5,32,0.01,20,64,0.001,0.9725000262260437,0.15048648416996002,88.47760224342346,-126.359375,184202
True,5,32,0.01,20,64,0.01,0.11349999904632568,2.3016245365142822,97.43597793579102,32.40625,178922
False,5,32,0.01,20,64,0.01,0.9776999950408936,0.1681690812110901,88.00637221336365,-208.625,184202
True,5,32,0.01,20,128,0.001,0.9474999904632568,0.18554486334323883,66.48033213615417,-424.015625,178922
False,5,32,0.01,20,128,0.001,0.9807000160217285,0.12483375519514084,60.46695017814636,-109.0625,184202
True,5,32,0.01,20,128,0.01,0.9368000030517578,0.22338932752609253,64.04818415641785,-137.953125,178922
False,5,32,0.01,20,128,0.01,0.9771000146865845,0.1709393411874771,58.44500184059143,325.28125,184202
True,5,32,0.1,10,64,0.001,0.9695000052452087,0.126800999045372,40.65710401535034,242.171875,178922
False,5,32,0.1,10,64,0.001,0.9546999931335449,0.3115699291229248,37.430023193359375,226.6875,184202
True,5,32,0.1,10,64,0.01,0.9018999934196472,0.33295464515686035,40.5016770362854,-683.75,178922
False,5,32,0.1,10,64,0.01,0.9625999927520752,0.276118665933609,38.88785934448242,-316.0625,184202
True,5,32,0.1,10,128,0.001,0.9724000096321106,0.10791344940662384,32.36050200462341,-25.84375,178922
False,5,32,0.1,10,128,0.001,0.9352999925613403,0.41172298789024353,29.88741683959961,241.703125,184202
True,5,32,0.1,10,128,0.01,0.7850000262260437,0.6720007658004761,32.19936990737915,-295.140625,178922
False,5,32,0.1,10,128,0.01,0.9567999839782715,0.2674570381641388,29.436366081237793,116.0,184202
True,5,32,0.1,20,64,0.001,0.9794999957084656,0.12314265221357346,87.02973508834839,-355.234375,178922
False,5,32,0.1,20,64,0.001,0.9642999768257141,0.23527663946151733,80.81414294242859,39.484375,184202
True,5,32,0.1,20,64,0.01,0.8788999915122986,0.4167487323284149,87.10339903831482,-201.59375,178922
False,5,32,0.1,20,64,0.01,0.7465999722480774,0.6745308637619019,82.05925798416138,-28.734375,184202
True,5,32,0.1,20,128,0.001,0.8773000240325928,0.44584307074546814,64.09959292411804,-726.59375,178922
False,5,32,0.1,20,128,0.001,0.9692999720573425,0.23534704744815826,56.56238889694214,75.359375,184202
True,5,32,0.1,20,128,0.01,0.8422999978065491,0.5065335035324097,61.73801302909851,-244.0625,178922
False,5,32,0.1,20,128,0.01,0.9708999991416931,0.19027364253997803,59.27198791503906,437.96875,184202
True,5,64,0.001,10,64,0.001,0.9814000129699707,0.09512604027986526,70.04533410072327,281.09375,702538
False,5,64,0.001,10,64,0.001,0.9887999892234802,0.07512208819389343,60.461769819259644,-366.265625,723338
True,5,64,0.001,10,64,0.01,0.11349999904632568,2.303501844406128,68.65992307662964,-514.640625,702538
False,5,64,0.001,10,64,0.01,0.9790999889373779,0.1272311508655548,58.4489860534668,-94.96875,723338
True,5,64,0.001,10,128,0.001,0.9835000038146973,0.07693041861057281,62.602219104766846,6.953125,702538
False,5,64,0.001,10,128,0.001,0.9833999872207642,0.10992290079593658,51.689279079437256,225.640625,723338
True,5,64,0.001,10,128,0.01,0.8131999969482422,0.6033143997192383,62.93831396102905,-267.765625,702538
False,5,64,0.001,10,128,0.01,0.9835000038146973,0.10645047575235367,49.372519969940186,142.734375,723338
True,5,64,0.001,20,64,0.001,0.9799000024795532,0.12403695285320282,145.89253783226013,-407.25,702538
False,5,64,0.001,20,64,0.001,0.9847000241279602,0.0868537575006485,120.62061595916748,-117.34375,723338
True,5,64,0.001,20,64,0.01,0.11349999904632568,2.301678419113159,149.15407991409302,-70.25,702538
False,5,64,0.001,20,64,0.01,0.9790999889373779,0.1306086629629135,116.55906891822815,-108.40625,723338
True,5,64,0.001,20,128,0.001,0.9768000245094299,0.12371523678302765,129.15894198417664,75.546875,702538
False,5,64,0.001,20,128,0.001,0.9836999773979187,0.09015488624572754,102.93349313735962,-221.9375,723338
True,5,64,0.001,20,128,0.01,0.11349999904632568,2.3019962310791016,114.10152006149292,-504.265625,702538
False,5,64,0.001,20,128,0.01,0.9836999773979187,0.11225103586912155,95.3068573474884,-156.09375,723338
True,5,64,0.01,10,64,0.001,0.9836999773979187,0.07739978283643723,68.2756142616272,-122.125,702538
False,5,64,0.01,10,64,0.001,0.98089998960495,0.1222783550620079,58.86287498474121,341.5,723338
True,5,64,0.01,10,64,0.01,0.11349999904632568,2.301452159881592,68.4580888748169,-464.078125,702538
False,5,64,0.01,10,64,0.01,0.9769999980926514,0.17008844017982483,57.30307602882385,-154.609375,723338
True,5,64,0.01,10,128,0.001,0.9797999858856201,0.09223143011331558,61.64093804359436,-70.703125,702538
False,5,64,0.01,10,128,0.001,0.979200005531311,0.14934886991977692,54.19408917427063,-191.515625,723338
True,5,64,0.01,10,128,0.01,0.927299976348877,0.2447361797094345,59.1082501411438,603.53125,702538
False,5,64,0.01,10,128,0.01,0.9818000197410583,0.14819864928722382,48.451316833496094,209.34375,723338
True,5,64,0.01,20,64,0.001,0.9811999797821045,0.12699399888515472,141.4518449306488,-819.296875,702538
False,5,64,0.01,20,64,0.001,0.984499990940094,0.09560538083314896,119.28681111335754,-194.71875,723338
True,5,64,0.01,20,64,0.01,0.11349999904632568,2.301239252090454,138.9699890613556,-172.828125,702538
False,5,64,0.01,20,64,0.01,0.9684000015258789,0.1811886876821518,117.03312110900879,-26.796875,723338
True,5,64,0.01,20,128,0.001,0.9850999712944031,0.10533204674720764,114.43807196617126,575.46875,702538
False,5,64,0.01,20,128,0.001,0.9814000129699707,0.11414516717195511,105.5142240524292,-728.78125,723338
True,5,64,0.01,20,128,0.01,0.9660000205039978,0.16531702876091003,126.93042922019958,-69.453125,702538
False,5,64,0.01,20,128,0.01,0.9745000004768372,0.1483515202999115,103.77403497695923,-70.6875,723338
True,5,64,0.1,10,64,0.001,0.9692000150680542,0.12059225887060165,72.48794388771057,489.5,702538
False,5,64,0.1,10,64,0.001,0.9740999937057495,0.22192375361919403,58.57345914840698,18.015625,723338
True,5,64,0.1,10,64,0.01,0.10100000351667404,2.301602602005005,68.80279994010925,-677.484375,702538
False,5,64,0.1,10,64,0.01,0.11349999904632568,2.301828145980835,56.11678504943848,-177.84375,723338
True,5,64,0.1,10,128,0.001,0.9790999889373779,0.08560188114643097,57.15891933441162,0.53125,702538
False,5,64,0.1,10,128,0.001,0.944599986076355,0.3481868505477905,47.90108799934387,206.390625,723338
True,5,64,0.1,10,128,0.01,0.11349999904632568,2.301487445831299,55.36401009559631,-361.125,702538
False,5,64,0.1,10,128,0.01,0.9118000268936157,0.5088635087013245,48.13840675354004,8.515625,723338
True,5,64,0.1,20,64,0.001,0.9810000061988831,0.10795115679502487,138.4931411743164,-232.84375,702538
False,5,64,0.1,20,64,0.001,0.9718000292778015,0.19513411819934845,112.49826693534851,457.96875,723338
True,5,64,0.1,20,64,0.01,0.10279999673366547,2.3019704818725586,132.59773993492126,218.484375,702538
False,5,64,0.1,20,64,0.01,0.9616000056266785,0.3346641957759857,113.90882682800293,232.625,723338
True,5,64,0.1,20,128,0.001,0.9781000018119812,0.12548182904720306,117.45383501052856,-1072.328125,702538
False,5,64,0.1,20,128,0.001,0.9664999842643738,0.21809296309947968,98.7300329208374,-73.90625,723338
True,5,64,0.1,20,128,0.01,0.11349999904632568,2.301934242248535,115.08773398399353,-41.671875,702538
False,5,64,0.1,20,128,0.01,0.9732000231742859,0.19204503297805786,97.28480410575867,-92.375,723338
True,10,32,0.001,10,64,0.001,0.11349999904632568,2.3010010719299316,50.96877694129944,-128.8125,178922
False,10,32,0.001,10,64,0.001,0.9801999926567078,0.14236639440059662,39.499053955078125,-72.53125,189482
True,10,32,0.001,10,64,0.01,0.11349999904632568,2.3013052940368652,46.63216590881348,-291.0625,178922
False,10,32,0.001,10,64,0.01,0.782800018787384,0.8208804726600647,38.59712100028992,137.5625,189482
True,10,32,0.001,10,128,0.001,0.11349999904632568,2.3010237216949463,38.260976791381836,-208.875,178922
False,10,32,0.001,10,128,0.001,0.9775999784469604,0.16487343609333038,30.99322009086609,265.109375,189482
True,10,32,0.001,10,128,0.01,0.10090000182390213,2.3019673824310303,37.949466705322266,-56.046875,178922
False,10,32,0.001,10,128,0.01,0.11349999904632568,2.3014283180236816,33.5848650932312,-93.609375,189482
True,10,32,0.001,20,64,0.001,0.11349999904632568,2.3010330200195312,95.45224094390869,-276.734375,178922
False,10,32,0.001,20,64,0.001,0.9822999835014343,0.13112981617450714,76.11965107917786,-110.546875,189482
True,10,32,0.001,20,64,0.01,0.11349999904632568,2.3027634620666504,94.47501611709595,524.9375,178922
False,10,32,0.001,20,64,0.01,0.8966000080108643,0.4973011612892151,75.68364715576172,107.609375,189482
True,10,32,0.001,20,128,0.001,0.8467000126838684,0.38376015424728394,73.13242077827454,-824.21875,178922
False,10,32,0.001,20,128,0.001,0.9818000197410583,0.14492784440517426,61.133918046951294,-91.09375,189482
True,10,32,0.001,20,128,0.01,0.11349999904632568,2.3029065132141113,72.01152491569519,-170.234375,178922
False,10,32,0.001,20,128,0.01,0.11349999904632568,2.3012466430664062,59.849830865859985,-59.796875,189482
True,10,32,0.01,10,64,0.001,0.6705999970436096,0.7520673871040344,49.307432889938354,-159.25,178922
False,10,32,0.01,10,64,0.001,0.9592999815940857,0.338019996881485,40.03688907623291,381.90625,189482
True,10,32,0.01,10,64,0.01,0.11349999904632568,2.302565336227417,48.759867906570435,-351.75,178922
False,10,32,0.01,10,64,0.01,0.11349999904632568,2.302136182785034,40.04526376724243,117.640625,189482
True,10,32,0.01,10,128,0.001,0.11349999904632568,2.3010828495025635,38.13134288787842,-181.578125,178922
False,10,32,0.01,10,128,0.001,0.9649999737739563,0.3495469093322754,31.18730592727661,40.765625,189482
True,10,32,0.01,10,128,0.01,0.11349999904632568,2.301605701446533,38.91053581237793,-265.796875,178922
False,10,32,0.01,10,128,0.01,0.11349999904632568,2.301589250564575,31.567119121551514,202.703125,189482
True,10,32,0.01,20,64,0.001,0.11349999904632568,2.301088333129883,97.12455081939697,-477.03125,178922
False,10,32,0.01,20,64,0.001,0.9704999923706055,0.2550058960914612,82.82996988296509,47.75,189482
True,10,32,0.01,20,64,0.01,0.11349999904632568,2.301804542541504,102.24531412124634,-299.40625,178922
False,10,32,0.01,20,64,0.01,0.11349999904632568,2.3014731407165527,82.43394422531128,-137.9375,189482
True,10,32,0.01,20,128,0.001,0.11349999904632568,2.3010494709014893,79.74815893173218,-148.96875,178922
False,10,32,0.01,20,128,0.001,0.9689000248908997,0.28301212191581726,66.1876311302185,-111.421875,189482
True,10,32,0.01,20,128,0.01,0.11349999904632568,2.301290512084961,77.45434880256653,204.40625,178922
False,10,32,0.01,20,128,0.01,0.10279999673366547,2.301692485809326,61.864893198013306,-503.84375,189482
True,10,32,0.1,10,64,0.001,0.11349999904632568,2.3010354042053223,53.16756582260132,-130.875,178922
False,10,32,0.1,10,64,0.001,0.7402999997138977,1.1302212476730347,41.39233183860779,-57.015625,189482
True,10,32,0.1,10,64,0.01,0.09799999743700027,2.3026347160339355,50.79610013961792,-154.53125,178922
False,10,32,0.1,10,64,0.01,0.11349999904632568,2.301668882369995,43.02838706970215,-88.078125,189482
True,10,32,0.1,10,128,0.001,0.8192999958992004,0.5167372822761536,39.988577127456665,206.046875,178922
True,10,32,0.1,10,128,0.01,0.11349999904632568,2.301384687423706,39.19189190864563,264.71875,178922
False,10,32,0.1,10,128,0.01,0.11349999904632568,2.3019626140594482,29.90970540046692,213.34375,189482
True,10,32,0.1,20,64,0.001,0.9587000012397766,0.16242823004722595,99.67007827758789,-1195.265625,178922
False,10,32,0.1,20,64,0.001,0.8489999771118164,0.9391970634460449,82.32373690605164,-144.984375,189482
True,10,32,0.1,20,64,0.01,0.11349999904632568,2.3022408485412598,105.60582494735718,-67.328125,178922
False,10,32,0.1,20,64,0.01,0.11349999904632568,2.301619052886963,83.35721325874329,-51.734375,189482
True,10,32,0.1,20,128,0.001,0.11349999904632568,2.300987720489502,79.80635404586792,-240.453125,178922
False,10,32,0.1,20,128,0.001,0.8661999702453613,0.8666892647743225,60.1314480304718,36.59375,189482
True,10,32,0.1,20,128,0.01,0.11349999904632568,2.3018274307250977,79.27487802505493,-235.546875,178922
False,10,32,0.1,20,128,0.01,0.11349999904632568,2.3020970821380615,61.53554677963257,137.234375,189482
True,10,64,0.001,10,64,0.001,0.11349999904632568,2.3012070655822754,89.80689907073975,-370.390625,702538
False,10,64,0.001,10,64,0.001,0.9836000204086304,0.12775565683841705,56.022221088409424,-1003.0,744138
True,10,64,0.001,10,64,0.01,0.09740000218153,2.3024535179138184,78.3643786907196,439.3125,702538
False,10,64,0.001,10,64,0.01,0.11349999904632568,2.302201271057129,59.35273098945618,-497.921875,744138
True,10,64,0.001,10,128,0.001,0.11349999904632568,2.301048517227173,69.25524091720581,-152.03125,702538
False,10,64,0.001,10,128,0.001,0.9805999994277954,0.16696353256702423,51.6149468421936,-52.171875,744138
True,10,64,0.001,10,128,0.01,0.11349999904632568,2.302663803100586,67.92589402198792,-7.78125,702538
False,10,64,0.001,10,128,0.01,0.11349999904632568,2.3012728691101074,50.79866862297058,-216.109375,744138
True,10,64,0.001,20,64,0.001,0.11349999904632568,2.301065444946289,169.09019494056702,-184.4375,702538
False,10,64,0.001,20,64,0.001,0.9807999730110168,0.13567334413528442,126.8651020526886,-112.75,744138
True,10,64,0.001,20,64,0.01,0.11349999904632568,2.3024604320526123,165.503338098526,-103.078125,702538
False,10,64,0.001,20,64,0.01,0.10100000351667404,2.3023276329040527,116.91356611251831,605.0625,744138
True,10,64,0.001,20,128,0.001,0.11349999904632568,2.300976276397705,137.18245601654053,-752.125,702538
False,10,64,0.001,20,128,0.001,0.9858999848365784,0.10369575023651123,101.43896389007568,-60.328125,744138
True,10,64,0.001,20,128,0.01,0.11349999904632568,2.3016161918640137,131.79141497612,-177.9375,702538
False,10,64,0.001,20,128,0.01,0.11349999904632568,2.301440715789795,96.85117173194885,-96.6875,744138
True,10,64,0.01,10,64,0.001,0.9492999911308289,0.1801188588142395,83.84583282470703,-152.0625,702538
False,10,64,0.01,10,64,0.001,0.97079998254776,0.2709735035896301,58.251079082489014,-97.171875,744138
True,10,64,0.01,10,64,0.01,0.11349999904632568,2.3017334938049316,85.74995923042297,-200.859375,702538
False,10,64,0.01,10,64,0.01,0.11349999904632568,2.3012638092041016,63.28265190124512,-86.8125,744138
True,10,64,0.01,10,128,0.001,0.9656000137329102,0.14197388291358948,72.08680987358093,-195.625,702538
False,10,64,0.01,10,128,0.001,0.972599983215332,0.30154192447662354,56.751508951187134,-83.578125,744138
True,10,64,0.01,10,128,0.01,0.11349999904632568,2.301529884338379,74.77110719680786,-144.265625,702538
